title,authors,journal_name,publication_date,link,abstract
Structure-guided reshaping of the acyl binding pocket of 'TesA thioesterase enhances octanoic acid production in E. coli,"Deng, X., et al.",Metab Eng,2020.0,https://doi.org/10.1016/j.ymben.2020.04.010,"Medium-chain fatty acids (C6-C10) have attracted much attention recently for their unique properties compared to their long-chain counterparts, including low melting points and relatively higher carbon conversion yield. Thioesterase enzymes, which can catalyze the hydrolysis of acyl-ACP (acyl carrier protein) to release free fatty acids (FAs), regulate both overall FA yields and acyl chain length distributions in bacterial and yeast fermentation cultures. These enzymes typically prefer longer chain substrates. Herein, seeking to increase bacterial production of MCFAs, we conducted structure-guided mutational screening of multiple residues in the substrate-binding pocket of the E. coli thioesterase enzyme 'TesA. Confirming our hypothesis that enhancing substrate selectivity for medium-chain acyl substrates would promote overall MCFA production, we found that replacement of residues lining the bottom of the pocket with more hydrophobic residues strongly promoted the C8 substrate selectivity of 'TesA. Specifically, two rounds of saturation mutagenesis led to the identification of the 'TesA(RD-2) variant that exhibited a 133-fold increase in selectivity for the C8-ACP substrate as compared to C16-ACP substrate. Moreover, the recombinant expression of this variant in an E. coli strain with a blocked beta-oxidation pathway led to a 1030% increase in the in vivo octanoic acid (C8) production titer. When this strain was fermented in a 5-L fed-batch bioreactor, it produced 2.7 g/L of free C8 (45%, molar fraction) and 7.9 g/L of total free FAs, which is the highest-to-date free C8 titer to date reported using the E. coli type II fatty acid synthetic pathway. Thus, reshaping the substrate binding pocket of a bacterial thioesterase enzyme by manipulating the hydrophobicity of multiple residues altered the substrate selectivity and therefore fatty acid product distributions in cells. Our study demonstrates the relevance of this strategy for increasing titers of industrially attractive MCFAs as fermentation products."
Engineering Escherichia coli for succinate production from hemicellulose via consolidated bioprocessing,"Zheng, Z., et al.",Microb Cell Fact,2012.0,https://doi.org/10.1186/1475-2859-11-37,"BACKGROUND: The recalcitrant nature of hemicellulosic materials and the high cost in depolymerization are the primary obstacles preventing the use of xylan as feedstock for fuel and chemical production. Consolidated bioprocessing, incorporating enzyme-generating, biomass-degrading and bioproduct-producing capabilities into a single microorganism, could potentially avoid the cost of the dedicated enzyme generation in the process of xylan utilization. In this study, we engineered Escherichia coli strains capable of exporting three hemicellulases to the broth for the succinate production directly from beechwood xylan. RESULTS: Xylanases were extracellular environment-directed by fusing with OsmY. Subsequently, twelve variant OsmY fused endoxylanase-xylosidase combinations were characterized and tested. The combination of XynC-A from Fibrobacter succinogenes S85 and XyloA from Fusarium graminearum which appeared to have optimal enzymatic properties was identified as the best choice for xylan hydrolysis (0.18 +/- 0.01 g/l protein in the broth with endoxylanase activity of 12.14 +/- 0.34 U/mg protein and xylosidase activity of 92 +/- 3 mU/mg protein at 8 h after induction). Further improvements of hemicellulases secretion were investigated by lpp deletion, dsbA overexpression and expression level optimization. With co-expression of alpha-arabinofuranosidase, the engineered E. coli could hydrolyze beechwood xylan to pentose monosaccharides. The hemicellulolytic capacity was further integrated with a succinate-producing strain to demonstrate the production of succinate directly from xylan without externally supplied hydrolases and any other organic nutrient. The resulting E. coli Z6373 was able to produce 0.37 g/g succinate from xylan anaerobically equivalent to 76% of that from xylan acid hydrolysates. CONCLUSIONS: This report represents a promising step towards the goal of hemicellulosic chemical production. This engineered E. coli expressing and secreting three hemicellulases demonstrated a considerable succinate production on the released monosaccharides from xylan. The ability to use lower-cost crude feedstock will make biological succinate production more economically attractive."
Efficient soluble expression of disulfide bonded proteins in the cytoplasm of Escherichia coli in fed-batch fermentations on chemically defined minimal media,"Gaciarz, A., et al.",Microb Cell Fact,2017.0,https://doi.org/10.1186/s12934-017-0721-x,"BACKGROUND: The production of recombinant proteins containing disulfide bonds in Escherichia coli is challenging. In most cases the protein of interest needs to be either targeted to the oxidizing periplasm or expressed in the cytoplasm in the form of inclusion bodies, then solubilized and re-folded in vitro. Both of these approaches have limitations. Previously we showed that soluble expression of disulfide bonded proteins in the cytoplasm of E. coli is possible at shake flask scale with a system, known as CyDisCo, which is based on co-expression of a protein of interest along with a sulfhydryl oxidase and a disulfide bond isomerase. With CyDisCo it is possible to produce disulfide bonded proteins in the presence of intact reducing pathways in the cytoplasm. RESULTS: Here we scaled up production of four disulfide bonded proteins to stirred tank bioreactors and achieved high cell densities and protein yields in glucose fed-batch fermentations, using an E. coli strain (BW25113) with the cytoplasmic reducing pathways intact. Even without process optimization production of purified human single chain IgA(1) antibody fragment reached 139 mg/L and hen avidin 71 mg/L, while purified yields of human growth hormone 1 and interleukin 6 were around 1 g/L. Preliminary results show that human growth hormone 1 was also efficiently produced in fermentations of W3110 strain and when glucose was replaced with glycerol as the carbon source. CONCLUSIONS: Our results show for the first time that efficient production of high yields of soluble disulfide bonded proteins in the cytoplasm of E. coli with the reducing pathways intact is feasible to scale-up to bioreactor cultivations on chemically defined minimal media."
Enhanced production of recombinant Escherichia coli glutamate decarboxylase through optimization of induction strategy and addition of pyridoxine,"Su, L., et al.",Bioresour Technol,2015.0,https://doi.org/10.1016/j.biortech.2015.08.153,"This report describes the optimization of recombinant Escherichia coli glutamate decarboxylase (GAD) production from engineered E. coli BL21(DE3) in a 3-L fermentor. Investigation of different induction strategies revealed that induction was optimal when the temperature was maintained at 30 degrees C, the inducer (lactose) was fed at a rate of 0.2 g L(-1)h(-1), and protein expression was induced when the cell density (OD600) reached 50. Under these conditions, the GAD activity of 1273.8 U mL(-1) was achieved. Because GAD is a pyridoxal 5'-phosphate (PLP)-dependent enzyme, the effect of supplementing the medium with pyridoxine hydrochloride (PN), a cheap and stable PLP precursor, on GAD production was also investigated. When the culture medium was supplemented with PN to a concentration of 2mM at the initiation of protein expression, and then again 10h later, the GAD activity reached 3193.4 U mL(-1), which represented the highest GAD production ever reported."
Constitutive expression of the sRNA GadY decreases acetate production and improves E. coli growth,"Negrete, A. and J. Shiloach",Microb Cell Fact,2015.0,https://doi.org/10.1186/s12934-015-0334-1,"BACKGROUND: Escherichia coli responds to acid stress by applying various physiological, metabolic, and proton-consuming mechanisms depending on the growth media composition, cell density, growth phase, pH, and aerobic or anaerobic growth conditions. It was reported that at mild acidic conditions (pH 5.8), the Hfq-associated sRNA GadY is activated. It was also reported that the two decarboxylase systems-the lysine decarboxylase system (LDS) and the glutamate decarboxylase system (GDS)-are activated to maintain intracellular balance of protons. The purpose of this study was to establish the role of GadY in high density growth of E. coli and to evaluate the possibility of using this small RNA to create an acid-resistant strain suitable for industrial applications. RESULTS: Parental E. coli K-12 and constitutively expressing GadY strains were grown to high cell densities in a bioreactor at pH 7.0 and pH 6.0. At pH 7.0, both strains grew to similar cell densities of 43 OD, but the constitutively expressing GadY strain produced around 6 g/L acetate compared with 10 g/L by the parental strain. At pH 6.0, the parental strain grew to an OD of 20 and produced 10 g/L of acetate while the GadY strain grew to an average OD of 31 and produced 4 g/L acetate. After analyzing 17 genes associated with acid stress, it was found that at pH 7.0 LDS was expressed in the early exponential phase and GDS was expressed in the late exponential phase in both strains. However, at pH.6.0, GDS was expressed in the late exponential phase only in the parental strain and not in the constitutively expressing GadY strain, while there was no difference in the LDS expression pattern it was expressed in the early exponential phase in both strains. This indicates that GadY affects GDS expression at low pH since the GDS was not detected in the GadY strain at pH 6.0. CONCLUSIONS: The constitutive expression of GadY improves E. coli growth at pH 6.0 by deactivating the expression of the GDS in the late exponential growth phase. The expression of GadY also decreases acetate production regardless of pH, which decreases the inhibitory effect of this acid on bacterial growth."
Efficient Production of Lactobionic Acid Using Escherichia coli Capable of Synthesizing Pyrroloquinoline Quinone,"Han, H. J., et al.",J Agric Food Chem,2022.0,https://doi.org/10.1021/acs.jafc.1c08010,"Lactobionic acid (LBA) is an emerging chemical that has been widely utilized in food, cosmetic, and pharmaceutical industries. We sought to produce LBA using Escherichia coli. LBA can be produced from lactose in E. coli, which is innately unable to produce LBA, by coexpressing a heterologous quinoprotein glucose dehydrogenase (GDH) and a pyrroloquinoline quinone (PQQ) synthesis gene cluster. Using a recombinant E. coli strain, we successfully produced LBA without additional supplementation of PQQ, and changing the type of heterologous GDH improved the LBA production titer and productivity. To further enhance LBA production, culture conditions, such as growth temperature and isopropyl-beta-d-1-thiogalactopyranoside concentration, were optimized. Using optimized culture conditions, batch fermentation of the recombinant E. coli strain was performed using a 5 L bioreactor. After fermentation, this strain produced an LBA titer of 209.3 g/L, a yield of 100%, and a productivity of 1.45 g/L/h. To our best knowledge, this is the first study to produce LBA using heterologous GDH in an E. coli strain without any additional cofactors. Our results provide a simple method to produce LBA from lactose in a naturally non-LBA-producing bacterium and lay the groundwork for highly efficient LBA production in E. coli, which is one of the most versatile metabolite-producing bacterial hosts."
Using Unnatural Protein Fusions to Engineer a Coenzyme Self-Sufficiency System for D-Phenyllactic Acid Biosynthesis in Escherichia coli,"Qin, Z., et al.",Front Bioeng Biotechnol,2021.0,https://doi.org/10.3389/fbioe.2021.795885,"The biosynthetic production of D-penyllactic acid (D-PLA) is often affected by insufficient supply and regeneration of cofactors, leading to high production cost, and difficulty in industrialization. In this study, a D-lactate dehydrogenase (D-LDH) and glycerol dehydrogenase (GlyDH) co-expression system was constructed to achieve coenzyme NADH self-sufficiency and sustainable production of D-PLA. Using glycerol and sodium phenylpyruvate (PPA) as co-substrate, the E. coli BL21 (DE3) harboring a plasmid to co-express LfD-LDH and BmGlyDH produced 3.95 g/L D-PLA with a yield of 0.78 g/g PPA, similar to previous studies. Then, flexible linkers were used to construct fusion proteins composing of D-LDH and GlyDH. Under the optimal conditions, 5.87 g/L D-PLA was produced by expressing LfD-LDH-l(3)-BmGlyDH with a yield of 0.97 g/g PPA, which was 59.3% increased compared to expression of LfD-LDH. In a scaled-up reaction, a productivity of 5.83 g/L/h was reached. In this study, improving the bio-catalytic efficiency by artificial redox self-equilibrium system with a bifunctional fusion protein could reduce the bio-production cost of D-PLA, making this bio-production of D-PLA a more promising industrial technology."
Heterologous expression and purification of a marine alginate lyase in Escherichia coli,"Sun, X., et al.",Protein Expr Purif,2019.0,https://doi.org/10.1016/j.pep.2018.09.002,"Alginate lyase digestion is an efficient way to degrade alginate into oligosaccharides, which are useful in various areas including chemistry, pharmacy and food industry. Here we determined the sequence of Vibrio sp. QY102 sourced alginate lyase, and set up its heterologous expression in E. coli. We improved its secretion efficiency by replacing the original secretive sequence by E. coli specific signal peptide ompA. We successfully purified the full-length protein in shake flask culture, however, degradation happened during fed batch cultivation. By domain and disorder examination, we found that the protein was completely functional by expressing the C terminal fragment alone. For the final strain we constructed (HMS-ompA-CF), the extracellular enzyme activity reached 375 U/ml in shake flask and 1789 U/ml in fed batch cultivation (5â¯L bioreactor). And the final protein yield reached 0.58â¯g/L in fed batch cultivation. We determined that the optimal pH and temperature for the shortened alginate lyase were 7.0 and 39â¯ degrees C, respectively."
Effect of anaerobic promoters on the microaerobic production of polyhydroxybutyrate (PHB) in recombinant Escherichia coli,"Wei, X. X., et al.",Appl Microbiol Biotechnol,2009.0,https://doi.org/10.1007/s00253-008-1816-4,"Nine anaerobic promoters were cloned and constructed upstream of PHB synthesis genes phbCAB from Ralstonia eutropha for the micro- or anaerobic PHB production in recombinant Escherichia coli. Among the promoters, the one for alcohol dehydrogenase (PadhE) was found most effective. Recombinant E. coli JM 109 (pWCY09) harboring PadhE and phbCAB achieved a 48% PHB accumulation in the cell dry weight after 48 h of static culture compared with only 30% PHB production under its native promoter. Sixty-seven percent PHB was produced in the dry weight (CDW) of an acetate pathway deleted (Deltapta deletion) E. coli JW2294 harboring the vector pWCY09. In a batch process conducted in a 5.5-l NBS fermentor containing 3 l glucose LB medium, E. coli JW2294 (pWCY09) grew to 7.8 g/l CDW containing 64% PHB after 24 h of microaerobic incubation. In addition, molecular weight of PHB was observed to be much higher under microaerobic culture conditions. The high activity of PadhE appeared to be the reason for improved micro- or anaerobic cell growth and PHB production while high molecular weight contributed to the static culture condition."
Enhancement of L-phenylalanine production by engineered Escherichia coli using phased exponential L-tyrosine feeding combined with nitrogen source optimization,"Yuan, P., et al.",J Biosci Bioeng,2015.0,https://doi.org/10.1016/j.jbiosc.2014.12.002,"Nitrogen source optimization combined with phased exponential L-tyrosine feeding was employed to enhance L-phenylalanine production by a tyrosine-auxotroph strain, Escherichia coli YP1617. The absence of (NH4)2SO4, the use of corn steep powder and yeast extract as composite organic nitrogen source were more suitable for cell growth and L-phenylalanine production. Moreover, the optimal initial L-tyrosine level was 0.3 g L(-1) and exponential L-tyrosine feeding slightly improved L-phenylalanine production. Nerveless, L-phenylalanine production was greatly enhanced by a strategy of phased exponential L-tyrosine feeding, where exponential feeding was started at the set specific growth rate of 0.08, 0.05, and 0.02 h(-1) after 12, 32, and 52 h, respectively. Compared with exponential L-tyrosine feeding at the set specific growth rate of 0.08 h(-1), the developed strategy obtained a 15.33% increase in L-phenylalanine production (L-phenylalanine of 56.20 g L(-1)) and a 45.28% decrease in L-tyrosine supplementation."
Co-expression of phosphoenolpyruvate carboxykinase and nicotinic acid phosphoribosyltransferase for succinate production in engineered Escherichia coli,"Jiang, M., et al.",Enzyme Microb Technol,2014.0,https://doi.org/10.1016/j.enzmictec.2013.12.011,"Succinate is not the dominant fermentation product from xylose in wild-type Escherichia coli K12. E. coli BA 203 is a lactate dehydrogenase (ldhA), pyruvate formate lyase (pflB), and phosphoenolpyruvate (PEP)-carboxylase (ppc) deletion strain. To increase succinate accumulation and reduce byproduct formation, engineered E. coli BA204, in which ATP-forming PEP-carboxykinase (PEPCK) is overexpressed in BA203, was constructed and produced 2.17-fold higher succinate yield. To further improve the biomass and the consumption rate of xylose, nicotinic acid phosphoribosyltransferase (NAPRTase), a rate limiting enzyme in the synthesis of NAD(H), was also overexpressed. Thus, co-expression of PEPCK and NAPRTase in recombinant E. coli BA209 was investigated. In BA209, the pck gene and the pncB gene each have a trc promoter, hence, both genes are well expressed. During a 72-h anaerobic fermentation in sealed bottles, the total concentration of NAD(H) in BA209 was 1.25-fold higher than that in BA204, and the NADH/NAD+ ratio decreased from 0.28 to 0.11. During the exclusively anaerobic fermentation in a 3-L bioreactor, BA209 consumed 17.1 g L(-)(1) xylose and produced 15.5 g L(-)(1) succinate. Furthermore, anaerobic fermentation of corn stalk hydrolysate contained 30.1 g L(-)(1) xylose, 2.1 g L(-)(1) glucose and 1.5 g L(-)(1) arabinose, it produced a final succinate concentration of 17.2 g L(-)(1) with a yield of 0.94 g g(-)(1) total sugars."
Bioconversion of distillers' grains hydrolysates to advanced biofuels by an Escherichia coli co-culture,"Liu, F., et al.",Microb Cell Fact,2017.0,https://doi.org/10.1186/s12934-017-0804-8,"BACKGROUND: First generation bioethanol production utilizes the starch fraction of maize, which accounts for approximately 60% of the ash-free dry weight of the grain. Scale-up of this technology for fuels applications has resulted in a massive supply of distillers' grains with solubles (DGS) coproduct, which is rich in cellulosic polysaccharides and protein. It was surmised that DGS would be rapidly adopted for animal feed applications, however, this has not been observed based on inconsistency of the product stream and other logistics-related risks, especially toxigenic contaminants. Therefore, efficient valorization of DGS for production of petroleum displacing products will significantly improve the techno-economic feasibility and net energy return of the established starch bioethanol process. In this study, we demonstrate 'one-pot' bioconversion of the protein and carbohydrate fractions of a DGS hydrolysate into C4 and C5 fusel alcohols through development of a microbial consortium incorporating two engineered Escherichia coli biocatalyst strains. RESULTS: The carbohydrate conversion strain E. coli BLF2 was constructed from the wild type E. coli strain B and showed improved capability to produce fusel alcohols from hexose and pentose sugars. Up to 12 g/L fusel alcohols was produced from glucose or xylose synthetic medium by E. coli BLF2. The second strain, E. coli AY3, was dedicated for utilization of proteins in the hydrolysates to produce mixed C4 and C5 alcohols. To maximize conversion yield by the co-culture, the inoculation ratio between the two strains was optimized. The co-culture with an inoculation ratio of 1:1.5 of E. coli BLF2 and AY3 achieved the highest total fusel alcohol titer of up to 10.3 g/L from DGS hydrolysates. The engineered E. coli co-culture system was shown to be similarly applicable for biofuel production from other biomass sources, including algae hydrolysates. Furthermore, the co-culture population dynamics revealed by quantitative PCR analysis indicated that despite the growth rate difference between the two strains, co-culturing didn't compromise the growth of each strain. The q-PCR analysis also demonstrated that fermentation with an appropriate initial inoculation ratio of the two strains was important to achieve a balanced co-culture population which resulted in higher total fuel titer. CONCLUSIONS: The efficient conversion of DGS hydrolysates into fusel alcohols will significantly improve the feasibility of the first generation bioethanol process. The integrated carbohydrate and protein conversion platform developed here is applicable for the bioconversion of a variety of biomass feedstocks rich in sugars and proteins."
Enhanced Phenyllactic Acid Production in Escherichia coli Via Oxygen Limitation and Shikimate Pathway Gene Expression,"Kawaguchi, H., et al.",Biotechnol J,2019.0,https://doi.org/10.1002/biot.201800478,"3-Phenyllactic acid (PhLA) is useful as a start-up material in the pharmaceutical and biorefinery industries. To enhance the production of PhLA from glucose using recombinant Escherichia coli, the effects of glucose concentration and oxygen limitation on PhLA production are assessed in a fed-batch system using dissolved oxygen (DO)-stat method. The highest titer of PhLA (7.3 g L(-1) ) is observed with a high concentration of glucose and under oxygen-limited conditions (DO = 0 ppm). Under oxygen limitation, cell growth and the formation of acetate and l-phenylalanine (Phe) by-products after 72 h of cultivation are reduced by 30%, 70%, and 81%, respectively, as compared to that under high DO conditions (DO = 5 ppm). Gene expression levels are compared between low and high DO conditions by quantitative polymerase chain reaction (qPCR) analysis. Several genes in the glycolysis (gapA and pykA), pentose phosphate (tktA), and early shikimate pathways for PhLA biosynthesis (aroF, aroG, and aroH) are upregulated under oxygen limitation. The results suggest that oxygen limitation affects metabolism in the shikimate pathway at both metabolic and transcriptional levels and that controlling the DO level is critical for enhanced production of a variety of aromatic compounds through the shikimate pathway."
Enhancing E. coli isobutanol tolerance through engineering its global transcription factor cAMP receptor protein (CRP),"Chong, H., et al.",Biotechnol Bioeng,2014.0,https://doi.org/10.1002/bit.25134,"The limited isobutanol tolerance of Escherichia coli is a major drawback during fermentative isobutanol production. Different from classical strain engineering approaches, this work was initiated to improve E. coli isobutanol tolerance from its transcriptional level by engineering its global transcription factor cAMP receptor protein (CRP). Random mutagenesis libraries were generated by error-prone PCR of crp, and the libraries were subjected to isobutanol stress for selection. Variant IB2 (S179P, H199R) was isolated and exhibited much better growth (0.18 h(-1) ) than the control (0.05 h(-1) ) in 1.2% (v/v) isobutanol (9.6 g/L). Genome-wide DNA microarray analysis revealed that 58 and 308 genes in IB2 had differential expression (>2-fold, p < 0.05) in the absence and presence of 1% (v/v) isobutanol, respectively. When challenged with isobutanol, genes related to acid resistance (gadABCE, hdeABD), nitrate reduction (narUZYWV), flagella and fimbrial activity (lfhA, yehB, ycgR, fimCDF), and sulfate reduction and transportation (cysIJH, cysC, cysN) were the major functional groups that were up-regulated, whereas most of the down-regulated genes were enzyme (tnaA) and transporters (proVWX, manXYZ). As demonstrated by single-gene knockout experiments, gadX, nirB, rhaS, hdeB, and ybaS were found associated with strain isobutanol resistance. The intracellular reactive oxygen species (ROS) level in IB2 was only half of that of the control when facing stress, indicating that IB2 can withstand toxic isobutanol much better than the control."
Cloning Rosa hybrid phenylacetaldehyde synthase for the production of 2-phenylethanol in a whole cell Escherichia coli system,"Achmon, Y., et al.",Appl Microbiol Biotechnol,2014.0,https://doi.org/10.1007/s00253-013-5269-z,"2-Phenylethanol (2-PE) is a desirable compound in the food and perfumery industries with a characteristic rose fragrance. Until now, most of the studied biotechnological processes to produce 2-PE were conducted using natural 2-PE-producing yeasts. Only several researches were conducted in other genetically engineered microorganisms that simulated the Ehrlich pathway for the conversion of amino acids to fusel alcohols. Here, a novel metabolic pathway has been designed in Escherichia coli to produce 2-PE, using the Rosa hybrid phenylacetaldehyde synthase (PAAS), a pyridoxal 5'-phosphate (PLP)-dependent enzyme capable of transforming L-phenylalanine (L-phe) into phenylacetaldehyde by decarboxylation and oxidation. To overcome the enzyme insolubility in E. coli, several plasmids and host strains were tested for their expression ability. The desired results were obtained by using the pTYB21 plasmid containing the intein tag from the Saccharomyces cerevisiae VMA1. It was discovered that the intein PAAS activity is temperature-dependent, working well in the range of 25 to 30 degrees C but losing most of its activity at 37 degrees C. When external PLP cofactor was added, the cells produced 0.39 g l(-)(1) 2-PE directly from L-phe. In addition, a biotransformation that was based only on internal de novo PLP synthesis produced 0.34 g l(-)(1) 2-PE, thus creating for the first time an E. coli strain that can produce 2-PE from L-phe without the need for exterior cofactor additions."
Metabolic engineering of Escherichia coli for biosynthesis of poly(3-hydroxybutyrate-co-3-hydroxyvalerate) from glucose,"Yang, J. E., et al.",Appl Microbiol Biotechnol,2014.0,https://doi.org/10.1007/s00253-013-5285-z,"The Escherichia coli XL1-blue strain was metabolically engineered to synthesize poly(3-hydroxybutyrate-co-3-hydroxyvalerate) [P(3HB-co-3HV)] through 2-ketobutyrate, which is generated via citramalate pathway, as a precursor for propionyl-CoA. Two different metabolic pathways were examined for the synthesis of propionyl-CoA from 2-ketobutyrate. The first pathway is composed of the Dickeya dadantii 3937 2-ketobutyrate oxidase or the E. coli pyruvate oxidase mutant (PoxB L253F V380A) for the conversion of 2-ketobutyrate into propionate and the Ralstonia eutropha propionyl-CoA synthetase (PrpE) or the E. coli acetyl-CoA:acetoacetyl-CoA transferase for further conversion of propionate into propionyl-CoA. The second pathway employs pyruvate formate lyase encoded by the E. coli tdcE gene or the Clostridium difficile pflB gene for the direct conversion of 2-ketobutyrate into propionyl-CoA. As the direct conversion of 2-ketobutyrate into propionyl-CoA could not support the efficient production of P(3HB-co-3HV) from glucose, the first metabolic pathway was further examined. When the recombinant E. coli XL1-blue strain equipped with citramalate pathway expressing the E. coli poxB L253F V380A gene and R. eutropha prpE gene together with the R. eutropha PHA biosynthesis genes was cultured in a chemically defined medium containing 20 g/L of glucose as a sole carbon source, P(3HB-co-2.3 mol% 3HV) was produced up to the polymer content of 61.7 wt.%. Moreover, the 3HV monomer fraction in P(3HB-co-3HV) could be increased up to 5.5 mol% by additional deletion of the prpC and scpC genes, which are responsible for the metabolism of propionyl-CoA in host strains."
The properties of ZnO nanofluids and the role of H2O2 in the disinfection activity against Escherichia coli,"Zhang, L., et al.",Water Res,2013.0,https://doi.org/10.1016/j.watres.2012.10.054,"This work investigates the disinfection property of ZnO nanofluids, focusing on H2O2 production and the disinfection activities of ZnO suspensions with different particles/aggregates. The possible disinfection mechanisms of ZnO suspensions are analysed. In this work, a medium mill was used to produce ZnO suspensions with different sizes of particles/aggregates. During the milling process, five ZnO suspension samples (A-E) were produced. X-ray Diffraction (XRD) and Dynamic Light Scattering (DLS) analyses revealed that after milling, the size of ZnO particles/aggregates in the suspensions decreased. Disinfection tests, H2O2 detection assays and fluorescent analyses were used to explore the disinfection activities and mechanism of ZnO suspensions. Disinfection tests results showed that all the produced ZnO suspension exhibited disinfection activity against Escherichia coli. ZnO suspensions with smaller particles/aggregates showed better disinfection activities. The presence of H2O2 in ZnO suspension was analysed. The H2O2 detection assay suggested that there is 1 muM H2O2 in 0.2 g/l ZnO Sample A, while there was no H2O2 present in ZnO Sample E. Though results showed that there was no H2O2 present in ZnO Sample E, Sample E with a size of 93 nm showed the best disinfection activities. Fluorescence tests detected that the interaction between E. coli lipid vesicles and ZnO Sample E was much faster and more efficient. This study firstly demonstrated that ZnO suspensions with different particles/aggregates produced different amount of H2O2. Results suggested that H2O2 is responsible for the disinfection activity of larger ZnO particles/aggregates while the interaction between smaller ZnO particles/aggregates and vesicle lipids is responsible for the disinfection activity of smaller ZnO particles/aggregates."
Immobilization of recombinant Escherichia coli whole cells harboring xylose reductase and glucose dehydrogenase for xylitol production from xylose mother liquor,"Jin, L. Q., et al.",Bioresour Technol,2019.0,https://doi.org/10.1016/j.biortech.2019.121344,"In this study, recombinant E. coli BL21(DE3)/pCDFDuet-1-XR-GDH harboring xylose reductase (XR) and glucose dehydrogenase (GDH) were immobilized and applied for the production of xylitol from xylose mother liquor (XML). Various immobilization methods were screened and the cross-linking approach with diatomite and polyetherimide as the raw materials and glutaraldehyde as the cross-linking agent was the optimal one, and the recovery activity reached of 80.3% after immobilization. The half-life of immobilized cells was 1.52 times to that of free cells. Batch experiments showed that the enzyme activity of immobilized cells remained 70.5% of the initial activity after 10 batches and the space-time yield of xylitol reached of 11.5â¯g/(Lâ¯h). The production of xylitol from xylose mother liquor by immobilized E. coli cells containing xylose reductase and glucose dehydrogenase was reported for the first time, which paved a foundation for industrial production of xylitol from waste xylose mother liquor."
"Inactivation of Escherichia coli in fresh water with advanced oxidation processes based on the combination of O3, H2O2, and TiO2. Kinetic modeling","Rodriguez-Chueca, J., et al.",Environ Sci Pollut Res Int,2015.0,https://doi.org/10.1007/s11356-015-4222-3,"The purpose of this work was to study the efficiency of different treatments, based on the combination of O3, H2O2, and TiO2, on fresh surface water samples fortified with wild strains of Escherichia coli. Moreover, an exhaustive assessment of the influence of the different agents involved in the treatment has been carried out by kinetic modeling of E. coli inactivation results. The treatments studied were (i) ozonation (O3), (ii) the peroxone system (O3/0.04 mM H2O2), (iii) catalytic ozonation (O3/1 g/L TiO2), and (iv) a combined treatment of O3/1 g/L TiO2/0.04 mM H2O2. It was observed that the peroxone system achieved the highest levels of inactivation of E. coli, around 6.80 log after 10 min of contact time. Catalytic ozonation also obtained high levels of inactivation in a short period of time, reaching 6.22 log in 10 min. Both treatments, the peroxone system (O3/H2O2) and catalytic ozonation (O3/TiO2), produced a higher inactivation rate of E. coli than ozonation (4.97 log after 10 min). While the combination of ozone with hydrogen peroxide or titanium dioxide thus produces an increase in the inactivation yield of E. coli regarding ozonation, the O3/TiO2/H2O2 combination did not enhance the inactivation results. The fitting of experimental values to the corresponding equations through non-linear regression techniques was carried out with Microsoft(R) Excel GInaFiT software. The inactivation results of E. coli did not respond to linear functions, and it was necessary to use mathematical models able to describe certain deviations in the bacterial inactivation processes. In this case, the inactivation results fit with mathematical models based on the hypothesis that the bacteria population is divided into two different subgroups with different degrees of resistance to treatments, for instance biphasic and biphasic with shoulder models. Graphical abstract á."
Simultaneous carbon dioxide sequestration and utilization for cadaverine production using dual promoters in engineered Escherichia coli strains,"Sri Wahyu Effendi, S., et al.",Bioresour Technol,2022.0,https://doi.org/10.1016/j.biortech.2022.127980,"Human carbonic anhydrase II (hCAII) is a rapid-acting zinc-metalloenzyme that catalyzes CO(2) hydration reversibly, with encouraging applications in carbon capture, sequestration, and utilization (CCSU). However, biocatalyst durability is a major challenge. Herein, hCAII is emphasized in 4 different Escherichia coli strains and designated under dual promoters from sigma factor 70 (sigma(70)) and heat shock protein (HSP70A) to suppress the usage of inducer and stimulate activity in heat environments. As a result, hCAII under high-efficient dual promoters regulation retained high residual activity in CO(2) biomineralization of 68.8 % after 4 cycles at 40 degrees C. Moreover, co-expression of CA(C9) with lysine decarboxylase (CadA) simultaneously sequestered CO(2) release up to 95.7 % and increased cadaverine titer from 18.0 to 36.7 g/L by using E. coli MG1655. The remnant biomass from cadaverine synthesis sustained converting CO(2) to 57.9 mg-CaCO(3). Thus, the dual promoters design demonstrated the promising potential for CCSU through simultaneous CO(2) utilization and cadaverine synthesis."
Production of 2-methyl-1-butanol in engineered Escherichia coli,"Cann, A. F. and J. C. Liao",Appl Microbiol Biotechnol,2008.0,https://doi.org/10.1007/s00253-008-1631-y,"Recent progress has been made in the production of higher alcohols by harnessing the power of natural amino acid biosynthetic pathways. Here, we describe the first strain of Escherichia coli developed to produce the higher alcohol and potential new biofuel 2-methyl-1-butanol (2MB). To accomplish this, we explored the biodiversity of enzymes catalyzing key parts of the isoleucine biosynthetic pathway, finding that AHAS II (ilvGM) from Salmonella typhimurium and threonine deaminase (ilvA) from Corynebacterium glutamicum improve 2MB production the most. Overexpression of the native threonine biosynthetic operon (thrABC) on plasmid without the native transcription regulation also improved 2MB production in E. coli. Finally, we knocked out competing pathways upstream of threonine production (DeltametA, Deltatdh) to increase its availability for further improvement of 2MB production. This work led to a strain of E. coli that produces 1.25 g/L 2MB in 24 h, a total alcohol content of 3 g/L, and with yields of up to 0.17 g 2MB/g glucose."
